
Salamanca,04/04/2022,48
Soria,08/27/2022,41
Cuenca,02/27/2022,54
Albacete,10/22/2022,54
Cuenca,04/13/2022,37
Soria,01/06/2022,44
Salamanca,01/26/2022,48
Leon,08/09/2022,52
Toledo,04/27/2022,36
Toledo,05/14/2022,42
Salamanca,03/11/2022,39
Leon,09/22/2022,54
Soria,09/13/2022,48
Toledo,09/28/2021,33
Madrid,01/05/2022,54
Toledo,12/11/2021,54
Soria,02/04/2022,41
Palencia,03/05/2022,50
Madrid,12/20/2021,34
Albacete,10/18/2021,47
Soria,04/23/2022,51
Murcia,06/07/2022,40
Toledo,11/10/2021,30
Palencia,03/20/2022,30
Soria,05/10/2022,51
Soria,08/02/2022,30
Soria,09/27/2022,50
Burgos,10/28/2022,30
Salamanca,01/27/2022,55
Albacete,01/15/2022,37
Albacete,04/08/2022,54
Murcia,05/12/2022,35
Valencia,06/25/2022,42
Soria,07/16/2022,41
Valencia,05/04/2022,39
Leon,07/12/2022,47
Murcia,10/02/2021,54
Toledo,07/12/2022,45
Toledo,10/25/2021,40
Murcia,04/16/2022,34
Palencia,08/16/2022,48
Leon,07/11/2022,47
Badajoz,09/17/2022,54
Toledo,01/22/2022,48
Leon,04/14/2022,47
Toledo,09/24/2022,46
Murcia,02/09/2022,36
Leon,06/20/2022,36
Burgos,03/18/2022,47
Burgos,10/26/2021,36
